ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
3555,international,FI_EFTU_PL_EPKK,13744,TURKU airport - KRAKOW/BALICE airport,FI_EFTU,FI,EFTU,TURKU airport,PL_EPKK,PL,EPKK,KRAKOW/BALICE airport
3556,international,LT_EYKA_UK_EGPH,13724,KAUNAS INTL airport - EDINBURGH airport,LT_EYKA,LT,EYKA,KAUNAS INTL airport,UK_EGPH,UK,EGPH,EDINBURGH airport
3557,international,AT_LOWS_SE_ESSA,13721,SALZBURG airport - STOCKHOLM/ARLANDA airport,AT_LOWS,AT,LOWS,SALZBURG airport,SE_ESSA,SE,ESSA,STOCKHOLM/ARLANDA airport
3558,domestic,NO_ENAN_NO_ENTC,13721,ANDOYA/ANDENES airport - TROMSO/LANGNES airport,NO_ENAN,NO,ENAN,ANDOYA/ANDENES airport,NO_ENTC,NO,ENTC,TROMSO/LANGNES airport
3559,international,BE_EBCI_ES_LERS,13718,CHARLEROI/BRUSSELS SOUTH airport - REUS airport,BE_EBCI,BE,EBCI,CHARLEROI/BRUSSELS SOUTH airport,ES_LERS,ES,LERS,REUS airport
3560,international,DE_EDDL_EL_LGKV,13710,DUESSELDORF airport - KAVALA/MEGAS ALEXANDROS airport,DE_EDDL,DE,EDDL,DUESSELDORF airport,EL_LGKV,EL,LGKV,KAVALA/MEGAS ALEXANDROS airport
3561,domestic,IT_LICD_IT_LIMC,13686,LAMPEDUSA airport - MILANO/MALPENSA airport,IT_LICD,IT,LICD,LAMPEDUSA airport,IT_LIMC,IT,LIMC,MILANO/MALPENSA airport
3562,international,DE_EDDB_ES_GCLA,13681,BERLIN-BRANDENBURG airport - LA PALMA airport,DE_EDDB,DE,EDDB,BERLIN-BRANDENBURG airport,ES_GCLA,ES,GCLA,LA PALMA airport
3563,international,EL_LGIR_NL_EHGG,13651,IRAKLION/NIKOS KAZANTZAKIS airport - GRONINGEN/EELDE airport,EL_LGIR,EL,LGIR,IRAKLION/NIKOS KAZANTZAKIS airport,NL_EHGG,NL,EHGG,GRONINGEN/EELDE airport
3564,international,IT_LIRN_PL_EPMO,13635,"NAPOLI/CAPODICHINO airport - WARSZAWA/MODLIN airport",IT_LIRN,IT,LIRN,"NAPOLI/CAPODICHINO airport",PL_EPMO,PL,EPMO,WARSZAWA/MODLIN airport
